"Reach","Year","Max_Extent","Mean_Extent","SD_Extent","Max_Change","Mean_Change","SD_Change","Max_MileDays","Mean_MileDays","SD_MileDays"
"Isleta",2010,8.6,1.24439252336449,2.58030484699347,5.6,0,1.00711086801279,266.3,47.5046728971963,83.3460052898747
"Isleta",2011,13.1,2.5392523364486,4.12157399646395,12,-3.04553895956003e-18,3.47372430733648,543.4,128.457009345794,175.66741469163
"Isleta",2012,22.2,8.20934579439252,8.78082131945435,11.1,0.0523364485981308,2.09817026454977,1756.8,423.959345794393,567.868711585426
"Isleta",2013,22.6,1.08271028037383,2.41533250662231,20.5,-2.48640162815787e-19,2.26473267396111,231.7,105.107476635514,98.8780979474051
"Isleta",2014,3.1,0.211682242990654,0.632606926115731,1.6,-5.23398148949898e-19,0.268538034654941,45.3,7.01869158878505,14.8724791107515
"Isleta",2015,5.1,0.642056074766355,1.42680821002767,3.6,-3.80839152490847e-19,0.456255426361711,137.4,19.8943925233645,41.9164736891195
"Isleta",2016,9.7,1.40280373831776,2.61851328437635,6.7,1.52294940677169e-18,1.08800545428072,300.2,42.3635514018692,82.7441941767363
"Isleta",2017,2.4,0.104672897196262,0.411543111808487,1.5,0,0.21163348599493,22.4,5.48457943925234,9.32129650862159
"Isleta",2018,6.3,1.15467289719626,1.79450167943024,3,-1.04266744693287e-18,0.766431888934422,247.1,78.7364485981308,80.7392620137243
"Isleta",2019,0,0,0,0,0,0,0,0,0
"Isleta",2020,12,4.83411214953271,3.98894068639407,4.6,0.0238317757009346,0.793957396309511,1034.5,337.871962616822,355.385552398247
"Isleta",2021,12.1,2.45607476635514,3.86219615867613,5.4,-1.0799502135769e-18,1.17093117312956,525.6,148.893457943925,202.224025715835
"San Acacia",2010,20.6,3.38271028037383,6.10431465511291,15.5,7.88743112466745e-18,2.75231016922251,723.9,169.352803738318,229.964866813668
"San Acacia",2011,27.1,5.5911214953271,9.50781075763553,18.6,0.0214953271028037,3.38023884583732,1196.5,484.668691588785,455.809211282856
"San Acacia",2012,31.6,11.9261682242991,12.1488331822393,26,0.061214953271028,4.70319444139599,2552.2,779.036448598131,849.802939089399
"San Acacia",2013,25.1,4.26728971962617,8.10283988587569,14.5,0,3.46835459087953,913.2,479.071962616822,381.181732019306
"San Acacia",2014,21.6,2.4588785046729,5.76168261272439,12,1.53740985499761e-18,2.54174536166943,526.2,232.974299065421,211.065852357023
"San Acacia",2015,12.2,0.523364485981308,1.95957164233815,9.5,3.10744331453896e-18,1.11582723686743,112,16.4065420560748,36.9049019506418
"San Acacia",2016,20.1,2.84392523364486,5.24415485155233,11.1,0.00981308411214954,2.02661793305708,608.6,210.771028037383,232.341728454227
"San Acacia",2017,21.4,3.49719626168224,6.31771424083949,5.4,-1.0121366773976e-18,1.6467067718596,748.4,226.807476635514,284.800352673245
"San Acacia",2018,36.8,14.007476635514,8.86819713150882,19.6,8.11959376298219e-18,3.79389180439746,2997.6,1757.23130841121,987.092372967723
"San Acacia",2019,17.5,1.31822429906542,3.68832629016105,6.7,-5.46454372457195e-18,1.17577264577553,282.1,63.6691588785047,108.08089555202
"San Acacia",2020,38.7,18.1093457943925,13.1503728697045,12.4,0.10981308411215,2.48319175245337,3875.4,1338.58971962617,1253.85748375371
"San Acacia",2021,32,5.13224299065421,10.2092675203553,16.9,-3.1583815928672e-19,4.17136448780742,1098.3,410.640186915888,392.959877142815
