"","Reach_MD","Species_Code","step_size","TF_Fratio","P_Value","R2","Diff_Fratio","lambda"
"1","San Acacia","CARCAR","4","FALSE","0.052","0.482","-0.072","15"
"2","San Acacia","CYPCAR","4","FALSE","0.557","0.122","-3.631","15"
"3","San Acacia","CYPLUT","4","FALSE","0.055","0.896","-0.329","7"
"4","San Acacia","GAMAFF","4","FALSE","0.071","0.552","-0.603","9.5"
"5","San Acacia","HYBAMA","4","FALSE","0.787","0.052","-4.011","15"
"6","San Acacia","ICTPUN","4","FALSE","0.904","0.059","-3.899","9.5"
"7","San Acacia","PIMPRO","4","FALSE","0.271","0.424","-2.476","9"
"8","San Acacia","PLAGRA","4","FALSE","0.421","0.334","-2.982","9"
"9","Isleta","CARCAR","4","FALSE","0.089","0.416","-1.051","15"
"10","Isleta","CYPCAR","4","FALSE","0.566","0.119","-3.65","15"
"11","Isleta","CYPLUT","4","TRUE","0.005","0.761","5.438","9"
"12","Isleta","GAMAFF","4","TRUE","0.008","0.94","7.25","6.5"
"13","Isleta","HYBAMA","4","FALSE","0.498","0.144","-3.502","14.5"
"14","Isleta","ICTPUN","4","FALSE","0.126","0.369","-1.628","14.5"
"15","Isleta","PIMPRO","4","TRUE","0.005","0.688","5.649","14.5"
"16","Isleta","PLAGRA","4","TRUE","0.048","0.491","0.079","15"
